,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_learning_rate,params_max_price,params_max_reserve_capacity_fraction,params_n_epochs,params_n_steps,state
65,65,3105.1,2023-02-02 11:01:32.332165,2023-02-02 11:56:25.853248,0 days 00:54:53.521083,0.00015077141792167829,0.8795600110521894,0.49270364218844465,15.5,0.5,15,233,COMPLETE
66,66,2710.8,2023-02-02 11:39:30.212541,2023-02-02 12:36:43.525226,0 days 00:57:13.312685,3.3171277879791193e-07,0.865022566743645,0.1584720816880938,27.0,0.5,17,633,COMPLETE
67,67,2414.826,2023-02-02 11:56:25.868872,2023-02-02 12:52:02.361564,0 days 00:55:36.492692,0.0037562177277626926,0.9120913705515235,4.414881397510592e-05,12.5,0.5,9,407,COMPLETE
68,68,1937.4779999999998,2023-02-02 12:36:43.525226,2023-02-02 13:27:34.819489,0 days 00:50:51.294263,0.0043963641323651395,0.9213517561196763,0.01273880610539214,10.5,0.5,5,664,COMPLETE
69,69,3820.7239999999997,2023-02-02 12:52:02.408424,2023-02-02 13:53:39.266320,0 days 01:01:36.857896,0.038087574891848316,0.9320932793796833,0.0009125575095236866,16.0,0.45000000000000007,11,150,COMPLETE
70,70,0.0,2023-02-02 13:27:34.854899,2023-02-02 13:49:04.161360,0 days 00:21:29.306461,1.5469623895639552e-06,0.8673963622863164,0.9531218592483752,19.0,0.25,24,513,PRUNED
71,71,1969.414,2023-02-02 13:49:04.255134,2023-02-02 14:44:06.235026,0 days 00:55:01.979892,0.01588161652481307,0.9353952488342621,0.006399687357855919,15.5,0.35,11,781,COMPLETE
72,72,2956.576,2023-02-02 13:53:39.391317,2023-02-02 15:01:02.854967,0 days 01:07:23.463650,2.346089482897421e-06,0.8921143200021887,0.21008718503702226,26.5,0.5,25,906,COMPLETE
73,73,5901.0,2023-02-02 14:44:06.344397,2023-02-02 15:35:33.122896,0 days 00:51:26.778499,6.433577528929653e-07,0.8516941931423483,0.42068445894068607,17.5,0.45000000000000007,16,1265,COMPLETE
74,74,5456.8,2023-02-02 15:01:02.901844,2023-02-02 16:06:19.478518,0 days 01:05:16.576674,6.405775836775866e-08,0.8784875622913665,0.32129006024437573,19.0,0.4,24,375,COMPLETE
75,75,4449.9,2023-02-02 15:35:33.138523,2023-02-02 16:30:35.705564,0 days 00:55:02.567041,6.907126501660295e-08,0.9090372122695002,0.1802933546500516,19.5,0.35,19,1699,COMPLETE
76,76,4012.936,2023-02-02 16:06:19.494143,2023-02-02 17:03:52.156620,0 days 00:57:32.662477,1.9848505769756362e-07,0.8979306690234549,0.37075768975082846,18.5,0.35,17,538,COMPLETE
77,77,2445.758,2023-02-02 16:30:35.752456,2023-02-02 17:35:57.661396,0 days 01:05:21.908940,4.7257824079471075e-07,0.8546857310707987,0.1640721415485466,18.5,0.5,18,1418,COMPLETE
78,78,5232.5,2023-02-02 17:03:52.231778,2023-02-02 17:59:47.024864,0 days 00:55:54.793086,1.1324440498432593e-08,0.8798202069448909,0.5149023291853841,17.5,0.4,15,1705,COMPLETE
79,79,5896.8,2023-02-02 17:35:57.708268,2023-02-02 18:39:08.106990,0 days 01:03:10.398722,1.0713770578126556e-08,0.9005922649384367,0.07871838928091983,19.5,0.45000000000000007,25,757,COMPLETE
80,80,1016.876,2023-02-02 17:59:47.024864,2023-02-02 18:51:24.903107,0 days 00:51:37.878243,2.97265580235347e-08,0.8869662871490054,0.021736368129676033,17.0,0.25,18,2032,PRUNED
81,81,5616.0,2023-02-02 18:39:08.106990,2023-02-02 19:36:51.872733,0 days 00:57:43.765743,1.4285663905774503e-08,0.8907475054787792,0.46123134004175853,16.0,0.45000000000000007,11,1456,COMPLETE
82,82,5482.8,2023-02-02 18:51:24.903107,2023-02-02 20:02:22.996963,0 days 01:10:58.093856,1.0138838580632048e-07,0.9381583995650569,0.5201828882180684,18.0,0.4,21,1929,COMPLETE
83,83,2066.1020000000003,2023-02-02 19:36:51.929490,2023-02-02 20:38:07.203136,0 days 01:01:15.273646,1.2932271816120429e-08,0.8790093810672122,0.020037737948770156,10.0,0.5,10,1392,COMPLETE
84,84,3959.468,2023-02-02 20:02:23.013155,2023-02-02 21:06:12.321260,0 days 01:03:49.308105,1.2006013670872633e-08,0.9060121683536968,0.40674930531268577,14.0,0.45000000000000007,9,2072,COMPLETE
85,85,5359.2,2023-02-02 20:38:07.249996,2023-02-02 22:05:26.830690,0 days 01:27:19.580694,1.0232662108741264e-05,0.9592325867924123,0.8682573895388099,14.5,0.45000000000000007,24,2254,COMPLETE
86,86,4665.5,2023-02-02 21:06:12.352540,2023-02-02 22:00:15.157246,0 days 00:54:02.804706,1.5233294633408306e-07,0.8542009576130616,0.6094608029138248,21.5,0.35,8,1306,COMPLETE
87,87,0.0,2023-02-02 22:00:15.157246,2023-02-02 22:55:15.274574,0 days 00:55:00.117328,1.1282441497187505e-06,0.9710786259710752,0.5695196208719566,15.5,0.35,23,2088,PRUNED
88,88,2561.5099999999998,2023-02-02 22:05:26.893209,2023-02-02 23:25:15.578378,0 days 01:19:48.685169,5.72279295177778e-05,0.9782023608289808,0.014277170333669324,16.5,0.45000000000000007,25,2295,COMPLETE
89,89,3293.5380000000005,2023-02-02 22:55:15.274574,2023-02-02 23:51:48.700936,0 days 00:56:33.426362,1.7535636837903403e-08,0.8846018555823065,0.013854145005931847,20.5,0.30000000000000004,23,114,COMPLETE
90,90,3342.7240000000006,2023-02-02 23:25:15.609602,2023-02-03 00:32:38.358110,0 days 01:07:22.748508,1.2370040727067575e-08,0.9003977161883169,0.003827690296536968,18.5,0.45000000000000007,23,700,COMPLETE
91,91,2435.818,2023-02-02 23:51:48.716565,2023-02-03 01:10:20.218139,0 days 01:18:31.501574,7.188354450174136e-07,0.9498709273118378,0.13412478590474544,17.0,0.5,23,2112,COMPLETE
92,92,3593.2,2023-02-03 00:32:38.370328,2023-02-03 01:40:55.591632,0 days 01:08:17.221304,6.319872041395452e-07,0.9513515665261268,0.5155845421906063,26.0,0.4,17,2020,COMPLETE
93,93,1310.0,2023-02-03 01:10:20.218139,2023-02-03 02:05:33.628215,0 days 00:55:13.410076,0.0002420160556654346,0.9546818668599508,0.8259168434021972,8.0,0.5,22,1897,PRUNED
94,94,5180.0,2023-02-03 01:40:55.591632,2023-02-03 02:59:34.986759,0 days 01:18:39.395127,2.8223265965283795e-08,0.8750262678000683,0.772943619021895,14.0,0.45000000000000007,17,1664,COMPLETE
95,95,5124.3,2023-02-03 02:05:33.643840,2023-02-03 03:06:47.114352,0 days 01:01:13.470512,6.5005482126757e-06,0.8556049993116516,0.07694636358478174,14.5,0.45000000000000007,11,1134,COMPLETE
96,96,2466.4800000000005,2023-02-03 02:59:35.084085,2023-02-03 04:11:19.351733,0 days 01:11:44.267648,4.887499443526806e-08,0.887846644844378,0.20811255196195055,17.0,0.5,20,2032,COMPLETE
97,97,0.0,2023-02-03 03:06:47.131735,2023-02-03 04:00:30.549747,0 days 00:53:43.418012,4.452514446039426e-08,0.8817544839507162,0.6732749175427263,9.0,0.45000000000000007,19,1831,PRUNED
98,98,5735.8,2023-02-03 04:00:30.596620,2023-02-03 05:11:11.358903,0 days 01:10:40.762283,6.019099313086839e-08,0.8781957581148048,0.7689497264470917,19.0,0.45000000000000007,13,2160,COMPLETE
99,99,3515.5,2023-02-03 04:11:19.398607,2023-02-03 05:11:41.648720,0 days 01:00:22.250113,5.983985757480129e-08,0.8990661572245863,0.12653397047933956,26.5,0.5,13,1466,COMPLETE
